timestamp,participant_id,experiment_run,Survived_ai,cf_explanations,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass,Age,SibSp,Parch,Fare,Survived
2024-06-04 15:35:11,24060401,1,Survived,"[""Changing from 1st Passanger Class to 2nd and from 0 Parent/Child to 4 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 59 to 54 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 2nd and from 0 Sibling/Spouse to 2 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,59,0,0,698,1
2024-06-04 15:42:49,24060402,1,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £849 to £8103 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £849 to £6784 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £849 to £5894 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,1,0,1,849,1
2024-06-04 15:46:12,24060402,2,Did not Survive,"[""Changing the Fare from £6615 to £5318 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 1st and the Fare from £6615 to £8371 will result in the prediction changing to 'SURVIVED'."", ""Changing the Fare from £6615 to £1979 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,3,4,2,0,6615,1
2024-06-04 15:52:05,24060402,3,Did not Survive,"[""Changing from 1 Parent/Child to 2 and the Fare from £5852 to £7842 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 45 to 25 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 45 to 5 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,45,1,1,5852,1
2024-06-04 15:58:13,24060402,4,Survived,"[""Changing from 1st Passanger Class to 3rd and from 0 Sibling/Spouse to 5 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 0 Sibling/Spouse to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 2nd and the Age from 37 to 64 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,37,0,1,617,1
2024-06-04 16:01:04,24060402,5,Survived,"[""Changing from 1st Passanger Class to 3rd and the Age from 21 to 30 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £826 to £4302 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £826 to £6313 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,21,0,2,826,1
2024-06-04 16:02:11,24060402,6,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £512 to £3666 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £512 to £2415 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 3 Children to 5 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,38,0,3,512,1
2024-06-04 16:03:14,24060402,7,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £503 to £9131 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £503 to £2169 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £503 to £1860 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,35,0,5,503,1
2024-06-04 16:13:50,24060402,8,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £9589 to £5288 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 1 Parent/Child to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 1 Sibling/Spouse to 3 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,1,0,1,31,1,1,9589,1
2024-06-04 16:15:34,24060402,9,Did not Survive,"[""Changing the Age from 23 to 1 and from 2 Parents/Children to 4 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 4 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 9 and the Fare from £1080 to £6665 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,2,23,1,2,1080,0
2024-06-04 16:16:42,24060402,10,Did not Survive,"[""Changing from 2nd Passanger Class to 1st and the Fare from £1284 to £8301 will result in the prediction changing to 'SURVIVED'."", ""Changing from 2nd Passanger Class to 1st and the Fare from £1284 to £8641 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 29 to 2 and the Fare from £1284 to £2309 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,2,29,1,2,1284,1
2024-06-04 18:43:19,24060403,1,Did not Survive,"[""Changing the Age from 43 to 0 and the Fare from £828 to £8438 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 43 to 4 and from 4 Children to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 43 to 0 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,43,1,4,828,0
2024-06-04 18:52:42,24060403,2,Survived,"[""Changing from 2nd Passanger Class to 3rd and the Age from 23 to 74 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and from 2 Parents/Children to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and from 3 Siblings to 2 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,2,23,3,2,9589,1
2024-06-04 19:00:17,24060403,3,Did not Survive,"[""Changing from 6 Siblings to 2 and the Fare from £723 to £1955 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 29 to 1 and from 6 Siblings to 2 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 29 to 3 and from 6 Siblings to 0 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,3,29,6,0,723,0
2024-06-04 19:02:36,24060403,4,Survived,"[""Changing from 1st Passanger Class to 3rd and the Age from 4 to 54 and from 2 Siblings to 0 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 4 to 77 and from 2 Siblings to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 2 Siblings to 6 and the Fare from £5089 to £2570 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,1,0,0,1,4,2,4,5089,1
2024-06-04 19:15:51,24060403,5,Did not Survive,"[""Changing the Fare from £2879 to £5405 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 12 to 8 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 3rd Passanger Class to 2nd and the Fare from £2879 to £8035 will result in the prediction changing to 'SURVIVED'.""]",0,1,1,0,0,3,12,2,2,2879,0
2024-06-04 19:17:04,24060403,6,Survived,"[""Changing from 2nd Passanger Class to 3rd and the Fare from £548 to £4714 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 27 to 59 and from 0 Sibling/Spouse to 3 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 27 to 60 and from 0 Sibling/Spouse to 3 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,2,27,0,1,548,1
2024-06-04 19:19:16,24060403,7,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £9931 to £7009 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2 Siblings to 4 and the Fare from £9931 to £251 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £9931 to £6529 will result in the prediction changing to 'DID NOT SURVIVE'.""]",0,1,1,0,0,1,6,2,2,9931,1
2024-06-04 19:20:07,24060403,8,Survived,"[""Changing from 1st Passanger Class to 3rd and the Age from 0 to 67 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 0 to 60 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 0 to 54 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,1,0,0,1,0,3,6,4585,1
2024-06-05 19:54:43,24060501-04,1,Did not Survive,"[""Changing the Age from 37 to 8 and from 2 Parents/Children to 1 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 37 to 0 and from 2 Siblings to 4 will result in the prediction changing to 'SURVIVED'."", ""Changing from 2nd Passanger Class to 1st and the Age from 37 to 5 will result in the prediction changing to 'SURVIVED'.""]",0,1,1,0,0,2,37,2,2,2416,0
2024-06-05 20:02:40,24060501-04,2,Survived,"[""Changing from 0 Parent/Child to 6 and the Fare from £893 to £7851 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 0 Parent/Child to 4 and the Fare from £893 to £6927 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 1 to 77 and the Fare from £893 to £9262 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,1,0,3,1,0,0,893,1
2024-06-05 20:05:13,24060501-04,3,Did not Survive,"[""Changing the Age from 23 to 0 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 7 and the Fare from £2801 to £3306 will result in the prediction changing to 'SURVIVED'."", ""Changing from 2nd Passanger Class to 1st and the Age from 23 to 6 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,2,23,1,0,2801,1
2024-06-05 20:12:48,24060501-04,4,Survived,"[""Changing from 2nd Passanger Class to 3rd and the Fare from £2557 to £4872 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Fare from £2557 to £1535 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Fare from £2557 to £2142 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,2,26,1,0,2557,1
2024-06-05 20:13:55,24060501-04,5,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £9790 to £4343 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 0 Sibling/Spouse to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 0 Parent/Child to 1 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,36,0,0,9790,1
2024-06-05 20:17:59,24060501-04,6,Did not Survive,"[""Changing from 1st Passanger Class to 3rd and the Age from 69 to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing from 1st Passanger Class to 2nd and the Age from 69 to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 69 to 3 and from 0 Parent/Child to 1 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,69,0,0,695,1
2024-06-05 20:22:20,24060501-04,7,Did not Survive,"[""Changing from 6 Siblings to 2 and the Fare from £5159 to £2709 will result in the prediction changing to 'SURVIVED'."", ""Changing from 6 Siblings to 2 and the Fare from £5159 to £8370 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 34 to 3 and the Fare from £5159 to £218 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,34,6,1,5159,1
2024-06-05 20:28:41,24060501-04,8,Did not Survive,"[""Changing the Age from 35 to 5 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 35 to 3 and from 0 Sibling/Spouse to 4 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 0 Sibling/Spouse to 3 and from 1 Parent/Child to 0 will result in the prediction changing to 'DID NOT SURVIVE'.""]",0,1,0,0,1,1,35,0,1,5019,1
2024-06-05 20:29:55,24060501-04,9,Survived,"[""Changing the Age from 26 to 76 and from 0 Sibling/Spouse to 3 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 26 to 78 and from 0 Sibling/Spouse to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 26 to 60 and from 0 Sibling/Spouse to 6 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,2,26,0,1,1037,1
2024-06-05 20:31:24,24060501-04,10,Survived,"[""Changing from 2nd Passanger Class to 3rd and the Age from 35 to 44 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and from 6 Siblings to 3 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and the Age from 35 to 27 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,2,35,6,6,1554,1
2024-06-05 20:32:04,24060501-04,11,Did not Survive,"[""Changing from 6 Siblings to 3 and from 6 Children to 2 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 2nd and the Fare from £1037 to £9747 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 2nd and from 6 Children to 2 will result in the prediction changing to 'SURVIVED'.""]",1,0,0,0,1,3,26,6,6,1037,1
2024-06-05 20:33:11,24060501-04,12,Survived,"[""Changing the Age from 22 to 63 and the Fare from £2012 to £706 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 22 to 77 and the Fare from £2012 to £906 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and the Fare from £2012 to £5989 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,2,22,1,1,2012,1
2024-06-05 20:37:27,24060501-04,13,Did not Survive,"[""Changing from 2nd Passanger Class to 1st and the Age from 23 to 8 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 11 and the Fare from £1945 to £8598 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 23 to 4 and from 1 Sibling/Spouse to 5 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,2,23,1,1,1945,0
2024-06-06 14:39:31,24060601,1,Survived,"[""Changing from 1st Passanger Class to 3rd and the Age from 0 to 23 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £9840 to £5243 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 0 to 70 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,0,0,2,9840,1
2024-06-06 14:42:18,24060601,2,Did not Survive,"[""Changing the Age from 31 to 7 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 1st and the Age from 31 to 1 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 1st and the Age from 31 to 3 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,3,31,1,0,793,0
2024-06-06 14:44:15,24060601,3,Did not Survive,"[""Changing the Age from 12 to 7 and from 5 Siblings to 0 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 12 to 2 and from 5 Siblings to 2 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 12 to 1 and from 5 Siblings to 2 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,2,12,5,1,2308,0
2024-06-06 14:47:47,24060601,4,Did not Survive,"[""Changing from 6 Siblings to 2 and the Fare from £9782 to £3579 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 6 Siblings to 0 and the Fare from £9782 to £8147 will result in the prediction changing to 'SURVIVED'."", ""Changing from 6 Siblings to 0 and from 1 Parent/Child to 5 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,1,11,6,1,9782,0
2024-06-06 14:49:59,24060601,5,Did not Survive,"[""Changing from 6 Siblings to 0 and the Fare from £9782 to £3716 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 11 to 3 and from 6 Siblings to 1 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 11 to 16 and from 6 Siblings to 0 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,1,0,1,11,6,4,9782,1
2024-06-06 14:53:28,24060601,6,Survived,"[""Changing from 1st Passanger Class to 3rd and the Fare from £7119 to £1243 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 0 Parent/Child to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £7119 to £1042 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,1,0,0,1,75,1,0,7119,1
2024-06-06 14:55:36,24060601,7,Survived,"[""Changing from 1st Passanger Class to 2nd and the Fare from £7119 to £472 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 1 Sibling/Spouse to 6 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and from 0 Parent/Child to 1 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,1,0,1,75,1,0,7119,0
