Name,Sex,Embarked,Pclass,Age,SibSp,Parch,Fare,Survived
Miss Elisabeth Walton Allen,female,S,1,29,0,0,20165.82425,1
Master Hudson Trevor Allison,male,S,1,0.9167,1,2,14460.901,1
Miss Helen Loraine Allison,female,S,1,2,1,2,14460.901,0
Mr Hudson Joshua Creighton Allison,male,S,1,30,1,2,14460.901,0
Mrs Hudson J C (Bessie Waldo Daniels) Allison,female,S,1,25,1,2,14460.901,0
Mr Harry Anderson,male,S,1,48,0,0,2533.401,1
Miss Kornelia Theodosia Andrews,female,S,1,63,1,0,7438.780986,1
Mr Thomas Jr Andrews,male,S,1,39,0,0,0,0
Mrs Edward Dale (Charlotte Lamson) Appleton,female,S,1,53,2,0,4912.145264,1
Mr Ramon Artagaveytia,male,C,1,71,0,0,4723.690764,0
Col John Jacob Astor,male,C,1,47,1,0,21710.4355,0
Mrs John Jacob (Madeleine Talmadge Force) Astor,female,C,1,18,1,0,21710.4355,1
Mme Leontine Pauline Aubart,female,C,1,24,0,0,6612.606,1
"Miss Ellen ""Nellie"" Barber",female,S,1,26,0,0,7523.867,1
Mr Algernon Henry Wilson Barkworth,male,S,1,80,0,0,2862.6,1
Mr John D Baumann,male,S,1,,0,0,2473.7635,0
Mr Quigg Edmond Baxter,male,C,1,24,0,1,23618.43474,0
Mrs James (Helene DeLaudeniere Chaput) Baxter,female,C,1,50,0,1,23618.43474,1
Miss Albina Bazzani,female,C,1,32,0,0,7279.754014,1
Mr Thomson Beattie,male,C,1,36,0,0,7179.563014,0
Mr Richard Leonard Beckwith,male,S,1,37,1,1,5014.721764,1
Mrs Richard Leonard (Sallie Monypeny) Beckwith,female,S,1,47,1,1,5014.721764,1
Mr Karl Howell Behr,male,C,1,26,0,0,2862.6,1
Miss Rosalie Bidois,female,C,1,42,0,0,21710.4355,1
Miss Ellen Bird,female,S,1,29,0,0,21162.17126,1
Mr Jakob Birnbaum,male,C,1,25,0,0,2480.92,0
Mr Dickinson H Bishop,male,C,1,25,1,0,8690.777264,1
Mrs Dickinson H (Helen Walton) Bishop,female,C,1,19,1,0,8690.777264,1
Miss Amelia Bissette,female,S,1,35,0,0,12942.12949,1
Mr Mauritz Hakan Bjornstrom-Steffansson,male,S,1,28,0,0,2533.401,1
Mr Stephen Weart Blackwell,male,S,1,45,0,0,3387.41,0
Mr Henry Blank,male,C,1,40,0,0,2958.02,1
Miss Caroline Bonnell,female,S,1,30,0,0,15731.58051,1
Miss Elizabeth Bonnell,female,S,1,58,0,0,2533.401,1
Mr John James Borebank,male,S,1,42,0,0,2533.401,0
Miss Grace Scott Bowen,female,C,1,45,0,0,25035.8225,1
Miss Elsie Edith Bowerman,female,S,1,22,0,1,5248.1,1
"Mr George (""George Arthur Brayton"") Bradley",male,S,1,,0,0,2533.401,1
Mr John Bertram Brady,male,S,1,41,0,0,2910.31,0
Mr Emil Brandeis,male,C,1,48,0,0,4818.309236,0
Dr Arthur Jackson Brewe,male,C,1,,0,0,3778.632,0
Mrs James Joseph (Margaret Tobin) Brown,female,C,1,44,0,0,2645.118736,1
Mrs John Murray (Caroline Lane Lamson) Brown,female,S,1,59,2,0,4912.145264,1
Mrs William Robert (Emma Eliza Ward) Bucknell,female,C,1,60,0,0,7279.754014,1
Miss Elizabeth Margaret Burns,female,C,1,41,0,0,12833.99,1
Major Archibald Willingham Butt,male,S,1,45,0,0,2533.401,0
Mr Alexander Cairns,male,S,1,,0,0,2958.02,0
Mr Edward Pennington Calderhead,male,S,1,42,0,0,2508.35325,1
Mrs Edward (Helen Churchill Hungerford) Candee,female,C,1,53,0,0,2618.878236,1
Mr Thomas Drake Martinez Cardeza,male,C,1,36,0,1,48886.45226,1
Mrs James Warburton Martinez (Charlotte Wardle Drake) Cardeza,female,C,1,58,0,1,48886.45226,1
Mr Frans Olof Carlsson,male,S,1,33,0,0,477.1,0
Mr Francisco M Carrau,male,S,1,28,0,0,4494.282,0
Mr Jose Pedro Carrau,male,S,1,17,0,0,4494.282,0
Master William Thornton II Carter,male,S,1,11,1,2,11450.4,1
Miss Lucile Polk Carter,female,S,1,14,1,2,11450.4,1
Mr William Ernest Carter,male,S,1,36,1,2,11450.4,1
Mrs William Ernest (Lucile Polk) Carter,female,S,1,36,1,2,11450.4,1
Mr Howard Brown Case,male,S,1,49,0,0,2480.92,0
Mrs Henry Arthur Jr (Eleanor Genevieve Fosdick) Cassebeer,female,C,1,,0,0,2645.118736,1
Mr Tyrell William Cavendish,male,S,1,36,1,0,7523.867,0
Mrs Tyrell William (Julia Florence Siegel) Cavendish,female,S,1,76,1,0,7523.867,1
Mr Herbert Fuller Chaffee,male,S,1,46,1,0,5837.3185,0
Mrs Herbert Fuller (Carrie Constance Toogood) Chaffee,female,S,1,47,1,0,5837.3185,1
Mr Norman Campbell Chambers,male,S,1,27,1,0,5066.802,1
Mrs Norman Campbell (Bertha Griggs) Chambers,female,S,1,33,1,0,5066.802,1
Miss Victorine Chaudanson,female,C,1,36,0,0,25035.8225,1
Miss Gladys Cherry,female,S,1,30,0,0,8253.83,1
Mr Paul Romaine Chevre,male,C,1,45,0,0,2833.974,1
Mrs (Edith Martha Bowerman) Chibnall,female,S,1,,0,1,5248.1,1
Mr Roderick Robert Crispin Chisholm,male,S,1,,0,0,0,0
Mr Walter Miller Clark,male,C,1,27,1,0,13051.47126,0
Mrs Walter Miller (Virginia McDowell) Clark,female,C,1,26,1,0,13051.47126,1
Miss Alice Cleaver,female,S,1,22,0,0,14460.901,1
Mr George Quincy Clifford,male,S,1,,0,0,4961.84,0
Mr Edward Pomeroy Colley,male,S,1,47,0,0,2441.55925,0
Miss Sara Rebecca Compton,female,C,1,39,1,1,7934.964986,1
Mr Alexander Taylor Jr Compton,male,C,1,37,1,1,7934.964986,0
Mrs Alexander Taylor (Mary Eliza Ingersoll) Compton,female,C,1,64,0,2,7934.964986,1
Mrs Robert Clifford (Malvina Helen Lamson) Cornell,female,S,1,55,2,0,2452.294,1
Mr John Bertram Crafton,male,S,1,,0,0,2533.401,0
Capt Edward Gifford Crosby,male,S,1,70,1,1,6774.82,0
Miss Harriet R Crosby,female,S,1,36,0,2,6774.82,1
Mrs Edward Gifford (Catherine Elizabeth Halstead) Crosby,female,S,1,64,1,1,2533.401,1
Mr John Bradley Cumings,male,C,1,39,1,0,6801.852486,0
Mrs John Bradley (Florence Briggs Thayer) Cumings,female,C,1,38,1,0,6801.852486,1
Mr Peter Denis Daly,male,S,1,51,0,0,2533.401,1
Mr Robert Williams Daniel,male,S,1,27,0,0,2910.31,1
Miss Sarah Daniels,female,S,1,33,0,0,14460.901,1
Mr Thornton Davidson,male,S,1,31,1,0,4961.84,0
Mrs Thornton (Orian Hays) Davidson,female,S,1,27,1,2,4961.84,1
Mr Albert Adrian Dick,male,S,1,31,1,0,5438.94,1
Mrs Albert Adrian (Vera Gillespie) Dick,female,S,1,17,1,0,5438.94,1
Dr Washington Dodge,male,S,1,53,1,1,7810.918986,1
Master Washington Dodge,male,S,1,4,0,2,7810.918986,1
Mrs Washington (Ruth Vidaver) Dodge,female,S,1,54,1,1,7810.918986,1
Mr Walter Donald Douglas,male,C,1,50,1,0,10155.0735,0
Mrs Frederick Charles (Mary Helene Baxter) Douglas,female,C,1,27,1,1,23618.43474,1
Mrs Walter Donald (Mahala Dutton) Douglas,female,C,1,48,1,0,10155.0735,1
"Lady (Lucille Christiana Sutherland) (""Mrs Morgan"") Duff Gordon",female,C,1,48,1,0,3778.632,1
"Sir Cosmo Edmund (""Mr Morgan"") Duff Gordon",male,C,1,49,1,0,5432.184264,1
Mr William Crothers Dulles,male,C,1,39,0,0,2833.974,0
Mrs Boulton (Olive Potter) Earnshaw,female,C,1,23,0,1,7934.964986,1
Miss Caroline Louise Endres,female,C,1,38,0,0,21710.4355,1
Miss Elizabeth Mussey Eustis,female,C,1,54,1,0,7468.208514,1
Miss Edith Corse Evans,female,C,1,36,0,0,3022.829264,0
Mr John Farthing,male,S,1,,0,0,21162.17126,0
Mrs Alfred (Antoinette) Flegenheim,female,S,1,,0,0,3023.220486,1
Miss Margaret Fleming,female,C,1,,0,0,10580.48449,1
"Mr John Irwin (""Irving"") Flynn",male,S,1,36,0,0,2517.89525,1
Mr Benjamin Laventall Foreman,male,C,1,30,0,0,2647.905,0
Miss Alice Elizabeth Fortune,female,S,1,24,3,2,25095.46,1
Miss Ethel Flora Fortune,female,S,1,28,3,2,25095.46,1
Miss Mabel Helen Fortune,female,S,1,23,3,2,25095.46,1
Mr Charles Alexander Fortune,male,S,1,19,3,2,25095.46,0
Mr Mark Fortune,male,S,1,64,1,4,25095.46,0
Mrs Mark (Mary McDougald) Fortune,female,S,1,60,1,4,25095.46,1
Miss Laura Mabel Francatelli,female,C,1,30,0,0,5432.184264,1
Mr Thomas Parham Franklin,male,S,1,,0,0,2533.401,0
Dr Henry William Frauenthal,male,S,1,50,2,0,12752.883,1
Mr Isaac Gerald Frauenthal,male,C,1,43,1,0,2645.118736,1
Mrs Henry William (Clara Heinsheimer) Frauenthal,female,S,1,,1,0,12752.883,1
Miss Hedwig Margaritha Frolicher,female,C,1,22,0,2,4723.29,1
Mr Maxmillian Frolicher-Stehli,male,C,1,60,1,1,7557.264,1
Mrs Maxmillian (Margaretha Emerentia Stehli) Frolicher-Stehli,female,C,1,48,1,1,7557.264,1
Mr Richard Fry,male,S,1,,0,0,0,0
Mr Jacques Heath Futrelle,male,S,1,37,1,0,5066.802,0
Mrs Jacques Heath (Lily May Peel) Futrelle,female,S,1,35,1,0,5066.802,1
Mr Arthur H Gee,male,S,1,47,0,0,3673.67,0
Miss Amalie Geiger,female,C,1,35,0,0,20181.33,1
Miss Dorothy Winifred Gibson,female,C,1,22,0,1,5667.948,1
Mrs Leonard (Pauline C Boeson) Gibson,female,C,1,45,0,1,5667.948,1
Mr Victor Giglio,male,C,1,24,0,0,7557.264,0
Mr Samuel L Goldenberg,male,C,1,49,1,0,8502.322764,1
Mrs Samuel L (Edwiga Grabowska) Goldenberg,female,C,1,,1,0,8502.322764,1
Mr George B Goldschmidt,male,C,1,71,0,0,3306.703764,0
Col Archibald IV Gracie,male,C,1,53,0,0,2719.47,1
Miss Margaret Edith Graham,female,S,1,19,0,0,2862.6,1
Mr George Edward Graham,male,S,1,38,0,1,14643.39175,0
Mrs William Thompson (Edith Junkins) Graham,female,S,1,58,0,1,14643.39175,1
Mr William Bertram Greenfield,male,C,1,23,0,1,6045.648986,1
Mrs Leo David (Blanche Strouse) Greenfield,female,C,1,45,0,1,6045.648986,1
Mr Benjamin Guggenheim,male,C,1,46,0,0,7557.264,0
Mr George Achilles Harder,male,C,1,25,1,0,5290.247014,1
Mrs George Achilles (Dorothy Annan) Harder,female,C,1,25,1,0,5290.247014,1
Mr Henry Sleeper Harper,male,C,1,48,1,0,7321.500264,1
Mrs Henry Sleeper (Myna Haxtun) Harper,female,C,1,49,1,0,7321.500264,1
Mr Charles H Harrington,male,S,1,,0,0,4045.808,0
Mr Henry Birkhardt Harris,male,S,1,45,1,0,7965.1845,0
Mrs Henry Birkhardt (Irene Wallach) Harris,female,S,1,35,1,0,7965.1845,1
Mr William Harrison,male,S,1,40,0,0,0,0
Mr Hammad Hassab,male,C,1,27,0,0,7321.500264,1
Mr Walter James Hawksford,male,S,1,,0,0,2862.6,1
Miss Margaret Bechstein Hays,female,C,1,24,0,0,7934.964986,1
Mr Charles Melville Hays,male,S,1,55,1,1,8921.77,0
Mrs Charles Melville (Clara Jennings Gregg) Hays,female,S,1,52,1,1,8921.77,1
Mr Christopher Head,male,S,1,42,0,0,4055.35,0
Mr Herbert Henry Hilliard,male,S,1,,0,0,4948.71975,0
Mr William Edward Hipkins,male,S,1,55,0,0,4771,0
Miss Jean Gertrude Hippach,female,C,1,16,0,1,5532.375264,1
Mrs Louis Albert (Ida Sophia Fischer) Hippach,female,C,1,44,0,1,5532.375264,1
Mrs John C (Anna Andrews) Hogeboom,female,S,1,51,1,0,7438.780986,1
Mr Alexander Oskar Holverson,male,S,1,42,1,0,4961.84,0
Mrs Alexander Oskar (Mary Aline Towner) Holverson,female,S,1,35,1,0,4961.84,1
"Mr Harry (""Mr E Haven"") Homer",male,C,1,35,0,0,2533.401,1
Mr Frederick Maxfield Hoyt,male,S,1,38,1,0,8587.8,1
Mr William Fisher Hoyt,male,C,1,,0,0,2928.993236,0
Mrs Frederick Maxfield (Jane Anne Forby) Hoyt,female,S,1,35,1,0,8587.8,1
Miss Amelie Icard,female,,1,38,0,0,7633.6,1
Miss Ann Elizabeth Isham,female,C,1,50,0,0,2739.74675,0
Mr Joseph Bruce Ismay,male,S,1,49,0,0,0,1
Mr Charles Cresson Jones,male,S,1,46,0,0,2480.92,0
Mr Henry Forbes Julian,male,S,1,50,0,0,2480.92,0
Mr Edwin Keeping,male,C,1,32.5,0,0,20181.33,0
Mr Edward Austin Kent,male,C,1,58,0,0,2833.974,0
Mr Frederick R Kenyon,male,S,1,41,1,0,4948.71975,0
Mrs Frederick R (Marion) Kenyon,female,S,1,,1,0,4948.71975,1
Mr Edwin Nelson Jr Kimball,male,S,1,42,1,0,5014.721764,1
Mrs Edwin Nelson Jr (Gertrude Parsons) Kimball,female,S,1,45,1,0,5014.721764,1
Mr Herman Klaber,male,S,1,,0,0,2533.401,0
Miss Emilie Kreuchen,female,S,1,39,0,0,20165.82425,1
Dr Alice (Farnham) Leader,female,S,1,49,0,0,2474.164264,1
Miss Bertha LeRoy,female,C,1,30,0,0,10155.0735,1
Mr Gustave J Lesurer,male,C,1,35,0,0,48886.45226,1
Mr Ervin G Lewy,male,C,1,,0,0,2645.118736,0
"Mr Erik Gustaf (""Mr Edward Lingrey"") Lindeberg-Lind",male,S,1,42,0,0,2533.401,0
Mrs Carl Johan (Sigrid Posse) Lindstrom,female,C,1,55,0,0,2645.118736,1
Miss Mary Conover Lines,female,S,1,16,0,1,3759.548,1
Mrs Ernest H (Elizabeth Lindsey James) Lines,female,S,1,51,0,1,3759.548,1
Mr Milton Clyde Long,male,S,1,29,0,0,2862.6,0
Miss Gretchen Fiske Longley,female,S,1,21,0,0,7438.780986,1
Mr Joseph Holland Loring,male,S,1,30,0,0,4341.61,0
Miss Elise Lurette,female,C,1,58,0,0,13981.01474,1
Miss Georgette Alexandra Madill,female,S,1,15,0,1,20165.82425,1
Mr John Edward Maguire,male,S,1,30,0,0,2480.92,0
Miss Roberta Maioni,female,S,1,16,0,0,8253.83,1
Mr Pierre Marechal,male,C,1,,0,0,2833.974,1
Mr Daniel Warner Marvin,male,S,1,19,1,0,5066.802,0
Mrs Daniel Warner (Mary Graham Carmichael Farquarson) Marvin,female,S,1,18,1,0,5066.802,1
"Mlle Berthe Antonine (""Mrs de Villiers"") Mayne",female,C,1,24,0,0,4723.690764,1
Mr Thomas Francis McCaffry,male,C,1,46,0,0,7179.563014,0
Mr Timothy J McCarthy,male,S,1,54,0,0,4948.71975,0
Mr James Robert McGough,male,S,1,36,0,0,2508.35325,1
Mr Edgar Joseph Meyer,male,C,1,28,1,0,7840.737736,0
Mrs Edgar Joseph (Leila Saks) Meyer,female,C,1,,1,0,7840.737736,1
Mr Francis Davis Millet,male,S,1,65,0,0,2533.401,0
Dr William Edward Minahan,male,Q,1,44,2,0,8587.8,0
Miss Daisy E Minahan,female,Q,1,33,1,0,8587.8,1
Mrs William Edward (Lillian E Thorpe) Minahan,female,Q,1,37,1,0,8587.8,1
Mr Philipp Edmund Mock,male,C,1,30,1,0,5510.505,1
Mr Harry Markland Molson,male,S,1,55,0,0,2910.31,0
Mr Clarence Bloomfield Moore,male,S,1,47,0,0,4045.808,0
Mr Charles H Natsch,male,C,1,37,0,1,2833.974,0
Miss Madeleine Newell,female,C,1,31,1,0,10808.7005,1
Miss Marjorie Newell,female,C,1,23,1,0,10808.7005,1
Mr Arthur Webster Newell,male,C,1,58,0,2,10808.7005,0
Miss Helen Monypeny Newsom,female,S,1,19,0,2,2507.952486,1
Mr Arthur Ernest Nicholson,male,S,1,64,0,0,2480.92,0
Dona Fermina Oliva y Ocana,female,C,1,39,0,0,10391.238,1
Mr Alfred Fernand Omont,male,C,1,,0,0,2456.273014,1
Miss Helene Ragnhild Ostby,female,C,1,22,0,1,5914.055264,1
Mr Engelhart Cornelius Ostby,male,C,1,65,0,1,5914.055264,0
Mr Servando Ovies y Rodriguez,male,C,1,28.5,0,0,2645.118736,0
Mr William Henry Marsh Parr,male,S,1,,0,0,0,0
Mr Austen Partner,male,S,1,45.5,0,0,2719.47,0
Mr Vivian Ponsonby Payne,male,S,1,23,0,0,8921.77,0
Mr Thomas Clinton Pears,male,S,1,29,1,0,6354.972,0
Mrs Thomas (Edith Wearne) Pears,female,S,1,22,1,0,6354.972,1
Mr Victor de Satode Penasco y Castellana,male,C,1,18,1,0,10391.238,0
Mrs Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,C,1,17,1,0,10391.238,1
Miss Anne Perreault,female,S,1,30,0,0,8921.77,1
Major Arthur Godfrey Peuchen,male,S,1,52,0,0,2910.31,1
Mr Walter Chamberlain Porter,male,S,1,47,0,0,4961.84,0
Mrs Thomas Jr (Lily Alexenia Wilson) Potter,female,C,1,56,0,1,7934.964986,1
Jonkheer John George Reuchlin,male,S,1,38,0,0,0,0
Mr George Alexander Lucien Rheims,male,S,1,,0,0,3778.632,1
Mr Sante Ringhini,male,C,1,22,0,0,12942.12949,0
Mr Victor Robbins,male,C,1,,0,0,21710.4355,0
Mrs Edward Scott (Elisabeth Walton McMillan) Robert,female,S,1,43,0,1,20165.82425,1
Mr Washington Augustus II Roebling,male,S,1,31,0,0,4818.309236,0
"Mr Charles Hallace (""Mr C Rolmane"") Romaine",male,S,1,45,0,0,2533.401,1
Mr Hugh Roscoe Rood,male,S,1,,0,0,4771,0
Miss Edith Louise Rosenbaum,female,C,1,33,0,0,2645.118736,1
"Mr George (""Mr George Thorne"") Rosenshine",male,C,1,46,0,0,7557.264,0
Mr John Hugo Ross,male,C,1,36,0,0,3828.7275,0
the Countess of (Lucy Noel Martha Dyer-Edwards) Rothes,female,S,1,33,0,0,8253.83,1
Mr Martin Rothschild,male,C,1,55,1,0,5667.948,0
Mrs Martin (Elizabeth L Rothschild,female,C,1,54,1,0,5667.948,1
Mr Alfred G Rowe,male,S,1,33,0,0,2533.401,0
Master John Borie Ryerson,male,C,1,13,2,2,25035.8225,1
Miss Emily Borie Ryerson,female,C,1,18,2,2,25035.8225,1
"Miss Susan Parker ""Suzette"" Ryerson",female,C,1,21,2,2,25035.8225,1
Mr Arthur Larned Ryerson,male,C,1,61,1,3,25035.8225,0
Mrs Arthur Larned (Emily Maria Borie) Ryerson,female,C,1,48,1,3,25035.8225,1
Mr Adolphe Saalfeld,male,S,1,,0,0,2910.31,1
Mlle Emma Sagesser,female,C,1,24,0,0,6612.606,1
Mr Abraham L Salomon,male,S,1,,0,0,2480.92,1
Mrs Paul (Emma Mock) Schabert,female,C,1,35,1,0,5510.505,1
Miss Augusta Serepeca,female,C,1,30,0,0,2958.02,1
Mr Frederic Kimber Seward,male,S,1,34,0,0,2533.401,1
Miss Elizabeth W Shutes,female,S,1,40,0,0,14643.39175,1
Mr Spencer Victor Silverthorne,male,S,1,35,0,0,2508.35325,1
Mr William Baird Silvey,male,S,1,50,1,0,5333.978,0
Mrs William Baird (Alice Munger) Silvey,female,S,1,39,1,0,5333.978,1
Col Oberst Alfons Simonius-Blumer,male,C,1,56,0,0,3387.41,1
Mr William Thompson Sloper,male,S,1,28,0,0,3387.41,1
Mr John Montgomery Smart,male,S,1,56,0,0,2533.401,0
Mr James Clinch Smith,male,C,1,56,0,0,2928.993236,0
Mr Lucien Philip Smith,male,S,1,24,1,0,5725.2,0
Mr Richard William Smith,male,S,1,,0,0,2480.92,0
Mrs Lucien Philip (Mary Eloise Hughes) Smith,female,S,1,18,1,0,5725.2,1
Mr John Pillsbury Snyder,male,S,1,24,1,0,7849.888514,1
Mrs John Pillsbury (Nelle Stevenson) Snyder,female,S,1,23,1,0,7849.888514,1
Master Robert Douglas Spedden,male,C,1,6,0,2,12833.99,1
Mr Frederic Oakley Spedden,male,C,1,45,1,1,12833.99,1
Mrs Frederic Oakley (Margaretta Corning Stone) Spedden,female,C,1,40,1,1,12833.99,1
Mr William Augustus Spencer,male,C,1,57,1,0,13981.01474,0
Mrs William Augustus (Marie Eugenie) Spencer,female,C,1,,1,0,13981.01474,1
Dr Max Stahelin-Maeglin,male,C,1,32,0,0,2910.31,1
Mr William Thomas Stead,male,S,1,62,0,0,2533.401,0
Mr Charles Emil Henry Stengel,male,C,1,54,1,0,5290.247014,1
Mrs Charles Emil Henry (Annie May Morris) Stengel,female,C,1,43,1,0,5290.247014,1
Mrs Walter Bertram (Martha Eustis) Stephenson,female,C,1,52,1,0,7468.208514,1
Mr Albert A Stewart,male,C,1,,0,0,2645.118736,0
Mrs George Nelson (Martha Evelyn) Stone,female,,1,62,0,0,7633.6,1
Mr Isidor Straus,male,S,1,67,1,0,21162.17126,0
Mrs Isidor (Rosalie Ida Blun) Straus,female,S,1,63,1,0,21162.17126,0
Mr Frederick Sutton,male,S,1,61,0,0,3084.050736,0
Mrs Frederick Joel (Margaret Welles Barron) Swift,female,S,1,48,0,0,2474.164264,1
Miss Ruth Taussig,female,S,1,18,0,2,7600.203,1
Mr Emil Taussig,male,S,1,52,1,1,7600.203,0
Mrs Emil (Tillie Mandelbaum) Taussig,female,S,1,39,1,1,7600.203,1
Mr Elmer Zebley Taylor,male,S,1,48,1,0,4961.84,1
Mrs Elmer Zebley (Juliet Cummins Wright) Taylor,female,S,1,,1,0,4961.84,1
Mr John Borland Thayer,male,C,1,49,1,1,10580.48449,0
Mr John Borland Jr Thayer,male,C,1,17,0,2,10580.48449,1
Mrs John Borland (Marian Longstreth Morris) Thayer,female,C,1,39,1,1,10580.48449,1
Mrs Gertrude Maybelle Thorne,female,C,1,,0,0,7557.264,1
Mr Gilbert Milligan Jr Tucker,male,C,1,31,0,0,2723.04825,1
Don Manuel E Uruchurtu,male,C,1,40,0,0,2645.118736,0
Mr Wyckoff Van der hoef,male,S,1,61,0,0,3196.57,0
